,timestamp,us,acc,ang,label
6191,55:26.5,198990568,1037.089,2.6306038,4
6192,55:26.5,199022624,1033.0519,2.4401305,4
6193,55:26.6,199054668,1040.6252,1.4580129,4
6194,55:26.6,199086696,1034.4172,1.9076691,4
6195,55:26.6,199118732,1040.2891,1.6279956,4
6196,55:26.7,199150752,1038.579,1.6090065,4
6197,55:26.7,199182800,1041.9824,2.0790484,4
6198,55:26.7,199214856,1038.021,2.9548717,4
6199,55:26.8,199246900,1040.5438,2.8941662,4
6200,55:26.8,199278956,1037.4495,2.6848207,4
6201,55:26.9,199311008,1037.9249,2.905848,4
6202,55:26.9,199343064,1035.5139,2.5048709,4
6203,55:26.9,199375108,1030.3442,2.5770869,4
6204,55:26.9,199407160,1032.4248,1.8316586,4
6205,55:27.0,199439192,1036.6166,2.2600014,4
6206,55:27.0,199471240,1041.459,1.7607379,4
6207,55:27.0,199503292,1042.7985,1.712013,4
6208,55:27.1,199535324,1032.47,1.8372431,4
6209,55:27.1,199567356,1040.3402,2.4121196,4
6210,55:27.1,199599400,1034.944,2.4822044,4
6211,55:27.1,199631460,1036.8882,2.624423,4
6212,55:27.2,199663500,1033.7212,2.8806798,4
6213,55:27.2,199695556,1035.6982,2.6910141,4
6214,55:27.3,199727612,1036.3229,2.2041028,4
6215,55:27.3,199759660,1029.2372,1.8945186,4
6216,55:27.3,199791696,1029.2076,1.962075,4
6217,55:27.4,199823744,1038.3953,1.6667041,4
6218,55:27.4,199855784,1044.0656,1.932211,4
6219,55:27.4,199887804,1035.1605,2.0364766,4
6220,55:27.4,199919840,1038.9165,2.1058235,4
6221,55:27.5,199951892,1037.8529,2.5697019,4
6222,55:27.5,199982948,1036.761,2.5215466,4
6223,55:27.5,200015008,1037.4836,2.3288782,4
6224,55:27.6,200046072,1039.3689,2.4267471,4
6225,55:27.6,200078124,1034.1176,1.8830391,4
6226,55:27.6,200110152,1033.7531,1.8079412,4
6227,55:27.7,200142192,1027.2439,1.6133418,4
6228,55:27.7,200174228,1033.6718,1.7136952,4
6229,55:27.7,200206264,1039.3607,2.0502641,4
6230,55:27.8,200238300,1040.1331,1.6793855,4
6231,55:27.8,200270336,1041.0326,2.1246872,4
6232,55:27.8,200302376,1040.366,2.3431435,4
6233,55:27.9,200334428,1039.089,2.5749178,4
6234,55:27.9,200365500,1039.5195,2.5969656,4
6235,55:27.9,200397544,1039.7449,2.7310462,4
6236,55:28.0,200429592,1037.7415,2.9948266,4
6237,55:28.0,200461644,1039.1384,2.0619419,4
6238,55:28.0,200492700,1032.4478,1.9353715,4
6239,55:28.0,200524732,1034.943,2.0169759,4
6240,55:28.1,200556780,1035.3717,1.9902924,4
6241,55:28.1,200588828,1031.3024,2.3958242,4
6242,55:28.2,200620872,1043.7855,2.553318,4
6243,55:28.2,200652928,1053.0956,2.9958758,4
6244,55:28.2,200683996,1047.8907,2.8959255,4
6245,55:28.2,200715060,1036.1392,2.3809824,4
6246,55:28.3,200747100,1033.0857,2.3730974,4
6247,55:28.3,200779156,1031.2361,2.3054156,4
6248,55:28.3,200811200,1028.4723,2.3129652,4
6249,55:28.4,200843252,1032.2852,2.4160137,4
6250,55:28.4,200875304,1036.2081,2.8684189,4
6251,55:28.4,200907356,1037.9734,2.4425981,4
6252,55:28.5,200939408,1046.262,2.6283901,4
6253,55:28.5,200971464,1044.3976,2.3574336,4
6254,55:28.5,201003524,1042.2878,2.4397011,4
6255,55:28.6,201035576,1035.3656,2.565043,4
6256,55:28.6,201067632,1035.0623,2.2515893,4
6257,55:28.6,201099692,1034.1798,2.3244624,4
6258,55:28.7,201131732,1029.0381,2.0308096,4
6259,55:28.7,201163772,1036.4594,1.9408976,4
6260,55:28.7,201195824,1029.5253,2.0413728,4
6261,55:28.8,201227872,1045.4979,2.3516486,4
6262,55:28.8,201259924,1031.1492,1.9534826,4
6263,55:28.8,201291948,1035.7142,1.7163426,4
6264,55:28.8,201323988,1036.6647,2.8607788,4
6265,55:28.9,201355056,1046.4613,2.8227007,4
6266,55:28.9,201387104,1063.9231,2.8823967,4
6267,55:29.0,201418172,1068.7699,2.2145097,4
6268,55:29.0,201450232,1031.423,2.010776,4
6269,55:29.0,201482272,1023.74,1.2001694,4
6270,55:29.0,201514312,1030.9229,2.0877934,4
6271,55:29.1,201545376,1028.8511,3.9301009,4
6272,55:29.1,201577420,1066.3007,3.6355245,4
6273,55:29.1,201609468,1067.5944,2.4728892,4
6274,55:29.2,201640532,1049.4878,1.3932787,4
6275,55:29.2,201672584,1045.4147,1.7606883,4
6276,55:29.2,201704628,1043.309,1.4351984,4
6277,55:29.3,201736672,1033.8987,2.5558016,4
6278,55:29.3,201768732,1022.2131,1.3093694,4
6279,55:29.3,201800768,1034.0375,2.1599271,4
6280,55:29.3,201832824,1022.7405,2.6478395,4
6281,55:29.4,201864872,1028.4387,3.2895875,4
6282,55:29.4,201895944,1052.6799,3.453125,4
6283,55:29.5,201927992,1067.0425,2.7138562,4
6284,55:29.5,201960048,1066.9191,2.0564013,4
6285,55:29.5,201992096,1060.3795,2.4684482,4
6286,55:29.6,202024148,1050.1062,2.3176665,4
6287,55:29.6,202056192,1037.2515,2.0641003,4
6288,55:29.6,202088228,1030.0929,2.0409307,4
6289,55:29.6,202120268,1018.9845,2.2423801,4
6290,55:29.7,202152320,1023.4076,2.6625385,4
6291,55:29.7,202184368,1021.2162,3.2506862,4
6292,55:29.7,202216404,1033.5718,3.0638359,4
6293,55:29.8,202248460,1030.5118,3.2536395,4
6294,55:29.8,202280512,1041.5909,3.1741674,4
6295,55:29.8,202312564,1061.848,2.4154475,4
6296,55:29.9,202344608,1055.416,2.8212156,4
6297,55:29.9,202376660,1055.788,1.9602793,4
6298,55:30.0,202408708,1049.9208,2.5340388,4
